City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Isa,AU,-20.7333,139.5,73.17,35,10,21.85,clear sky
1,Torbay,CA,47.6666,-52.7314,40.87,89,100,11.5,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,38.86,75,20,6.91,few clouds
3,Hurghada,EG,27.2574,33.8129,73.44,40,0,21.85,clear sky
4,Butaritari,KI,3.0707,172.7902,81.36,77,28,13.02,scattered clouds
5,Nikolskoye,RU,59.7035,30.7861,39.09,64,94,6.87,overcast clouds
6,Busselton,AU,-33.65,115.3333,59.11,49,0,16.37,clear sky
7,Yerbogachen,RU,61.2767,108.0108,33.76,71,23,12.21,few clouds
8,Gdov,RU,58.7406,27.8122,35.38,67,100,6.02,overcast clouds
9,Abha,SA,18.2164,42.5053,62.42,77,0,0.0,clear sky
10,Novoagansk,RU,61.9449,76.6625,45.99,67,66,16.17,broken clouds
11,Ilo,PE,-17.6394,-71.3375,65.98,83,4,5.17,clear sky
12,Goderich,CA,43.7501,-81.7165,40.91,87,12,6.91,few clouds
13,Albany,US,42.6001,-73.9662,54.52,93,98,4.52,overcast clouds
14,Praya,CV,14.9215,-23.5087,70.34,83,0,18.41,clear sky
15,Kilindoni,TZ,-7.9139,39.6668,79.5,75,49,18.43,light rain
16,Sola,VU,-13.8833,167.55,81.86,70,20,3.85,few clouds
17,Tiksi,RU,71.6872,128.8694,17.35,92,100,4.14,overcast clouds
18,Kloulklubed,PW,7.0419,134.2556,82.9,79,82,16.04,broken clouds
19,Carutapera,BR,-1.195,-46.02,75.36,95,51,4.79,broken clouds
20,Margate,GB,51.3813,1.3862,51.87,88,10,4.0,clear sky
21,Kulachi,PK,31.9286,70.4592,81.39,38,0,6.55,clear sky
22,Shingu,JP,33.7333,135.9833,69.03,48,100,3.51,overcast clouds
23,Muros,ES,42.7762,-9.0603,55.09,77,34,12.33,scattered clouds
24,Vaini,TO,-21.2,-175.2,78.96,78,40,5.75,scattered clouds
25,Georgetown,MY,5.4112,100.3354,85.95,83,20,4.61,few clouds
26,Bethel,US,41.3712,-73.414,57.36,89,63,5.01,broken clouds
27,Verkhoyansk,RU,67.5447,133.385,29.88,87,100,4.88,overcast clouds
28,Yellowknife,CA,62.456,-114.3525,37.92,100,75,17.27,light rain
29,Lavrentiya,RU,65.5833,-171.0,29.32,77,35,5.55,scattered clouds
30,Ambilobe,MG,-13.2,49.05,68.09,88,43,3.42,scattered clouds
31,Sobolevo,RU,54.4299,31.8996,31.48,59,11,2.64,few clouds
32,Tasiilaq,GL,65.6145,-37.6368,23.16,81,70,5.06,broken clouds
33,Kurchum,KZ,48.5722,83.6542,58.01,47,100,3.98,overcast clouds
34,Mataura,NZ,-46.1927,168.8643,64.47,53,53,2.86,broken clouds
35,Mutsu,JP,41.2894,141.2169,61.75,56,99,5.1,overcast clouds
36,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,14.97,light rain
37,Rikitea,PF,-23.1203,-134.9692,77.63,84,71,19.95,light rain
38,Bluff,NZ,-46.6,168.3333,64.8,71,60,4.7,broken clouds
39,Nara,JP,34.6851,135.8049,75.49,31,100,1.81,overcast clouds
40,Paamiut,GL,61.994,-49.6678,24.91,59,100,8.7,overcast clouds
41,Jadu,LY,31.953,12.0261,68.07,26,47,33.89,scattered clouds
42,Cape Town,ZA,-33.9258,18.4232,58.12,98,100,4.61,fog
43,Taoudenni,ML,22.6783,-3.9836,84.38,14,38,3.6,scattered clouds
44,Severo-Kurilsk,RU,50.6789,156.125,35.74,90,76,10.0,broken clouds
45,Hermanus,ZA,-34.4187,19.2345,61.36,80,16,4.38,few clouds
46,Havelock,US,34.8791,-76.9013,73.94,89,0,10.36,clear sky
47,Barrow,US,71.2906,-156.7887,15.82,79,100,14.97,light snow
48,Kyabe,TD,9.4515,18.9449,78.8,66,97,4.99,overcast clouds
49,Anloga,GH,5.7947,0.8973,81.99,80,100,7.45,overcast clouds
50,Port Elizabeth,ZA,-33.918,25.5701,61.11,100,75,5.75,broken clouds
51,Usvyaty,RU,55.7456,30.7533,31.41,62,89,4.25,overcast clouds
52,Vila,PT,42.0304,-8.1588,45.48,87,45,4.21,scattered clouds
53,Avarua,CK,-21.2078,-159.775,84.25,70,75,8.05,broken clouds
54,Pevek,RU,69.7008,170.3133,23.63,81,100,7.25,overcast clouds
55,Hobart,AU,-42.8794,147.3294,57.25,73,40,6.91,scattered clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,73.38,91,44,4.12,scattered clouds
57,New Norfolk,AU,-42.7826,147.0587,56.91,73,64,1.99,broken clouds
58,Hofn,IS,64.2539,-15.2082,40.84,71,100,3.6,overcast clouds
59,North Platte,US,41.1239,-100.7654,46.29,93,100,5.99,overcast clouds
60,Comalcalco,MX,18.2667,-93.2167,82.71,75,10,12.93,clear sky
61,Xining,CN,36.6167,101.7667,65.75,20,0,2.71,clear sky
62,Khatanga,RU,71.9667,102.5,22.01,82,37,13.27,scattered clouds
63,Dikson,RU,73.5069,80.5464,31.23,93,100,15.68,overcast clouds
64,Airai,TL,-8.9266,125.4092,74.82,58,100,4.32,overcast clouds
65,Rocha,UY,-34.4833,-54.3333,51.58,93,0,4.76,clear sky
66,Mana,GF,5.6592,-53.7767,75.54,91,100,3.18,overcast clouds
67,Alamosa,US,37.4695,-105.87,42.78,39,20,12.66,few clouds
68,Lebu,CL,-37.6167,-73.65,53.8,96,49,9.53,scattered clouds
69,Tuatapere,NZ,-46.1333,167.6833,64.81,69,97,4.81,overcast clouds
70,Bend,US,44.0582,-121.3153,71.46,39,0,8.05,clear sky
71,Mayo,US,38.8876,-76.5119,66.31,93,0,1.01,mist
72,La Asuncion,VE,11.0333,-63.8628,67.73,100,68,17.27,broken clouds
73,Dingle,PH,10.9995,122.6711,88.39,61,100,12.64,overcast clouds
74,Terre-De-Bas,GP,15.8501,-61.6442,78.31,77,24,19.15,few clouds
75,Anadyr,RU,64.75,177.4833,32.5,74,0,4.47,clear sky
76,Hammerfest,NO,70.6634,23.6821,25.25,86,40,3.44,scattered clouds
77,Bredasdorp,ZA,-34.5322,20.0403,57.61,91,100,1.79,overcast clouds
78,Russell,US,32.3502,-85.1999,78.4,89,0,0.0,clear sky
79,Kahului,US,20.8947,-156.47,82.42,68,40,27.63,scattered clouds
80,Saskylakh,RU,71.9167,114.0833,28.58,89,94,7.54,overcast clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,13.8,overcast clouds
82,Castro,BR,-24.7911,-50.0119,48.2,97,2,4.54,clear sky
83,Teknaf,BD,20.8624,92.3058,86.79,57,1,2.15,clear sky
84,Samarai,PG,-10.6167,150.6667,83.19,77,72,9.42,broken clouds
85,Ponta Do Sol,PT,32.6667,-17.1,64.0,70,24,6.31,few clouds
86,San Andres,CO,12.5847,-81.7006,82.42,83,20,10.36,few clouds
87,Saint-Joseph,RE,-21.3667,55.6167,73.78,83,22,15.01,light rain
88,Mahebourg,MU,-20.4081,57.7,77.29,83,40,16.11,scattered clouds
89,Kamaishi,JP,39.2667,141.8833,61.63,53,15,6.4,few clouds
90,Klaksvik,FO,62.2266,-6.589,43.72,74,75,10.27,broken clouds
91,Sept-Iles,CA,50.2001,-66.3821,32.52,100,75,0.0,broken clouds
92,San Patricio,US,28.017,-97.5169,81.9,89,100,14.05,overcast clouds
93,Lompoc,US,34.6391,-120.4579,69.94,88,75,13.8,fog
94,Makakilo City,US,21.3469,-158.0858,82.72,56,75,19.57,broken clouds
95,Kapaa,US,22.0752,-159.319,82.38,77,40,14.97,light rain
96,Ancud,CL,-41.8697,-73.8203,53.6,98,100,6.31,overcast clouds
97,Atuona,PF,-9.8,-139.0333,79.2,74,13,15.39,few clouds
98,Buchanan,LR,5.8808,-10.0467,78.96,87,84,2.3,moderate rain
99,Tucuman,AR,-26.8241,-65.2226,53.6,87,0,9.22,clear sky
100,Rockland,US,41.1668,-74.0496,61.43,92,76,5.08,broken clouds
101,Victoria,HK,22.2855,114.1577,81.25,69,100,13.0,overcast clouds
102,Belmonte,BR,-15.8631,-38.8828,77.94,87,1,10.11,clear sky
103,Mogadishu,SO,2.0371,45.3438,80.73,78,94,12.82,overcast clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,55.87,72,0,13.8,clear sky
105,Gimli,CA,50.6336,-96.9907,44.62,81,64,9.22,broken clouds
106,Yeppoon,AU,-23.1333,150.7333,83.98,73,22,9.1,few clouds
107,Kawalu,ID,-7.3817,108.2082,83.68,70,64,3.67,broken clouds
108,Cherskiy,RU,68.75,161.3,33.08,99,100,4.32,overcast clouds
109,Tutora,RO,47.1333,27.7833,48.54,76,0,3.44,clear sky
110,Carmen,MX,18.6333,-91.8333,86.04,74,0,9.22,clear sky
111,Salalah,OM,17.0151,54.0924,82.49,65,20,5.75,few clouds
112,Tilichiki,RU,60.4667,166.1,31.82,87,87,9.53,overcast clouds
113,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,1.14,clear sky
114,Geraldton,AU,-28.7667,114.6,70.21,37,0,29.93,clear sky
115,Rawson,AR,-43.3002,-65.1023,62.69,54,81,11.41,broken clouds
116,Gerede,TR,40.8008,32.1969,34.63,96,99,6.73,overcast clouds
117,Jamestown,US,42.097,-79.2353,51.03,90,75,3.44,broken clouds
118,Hirara,JP,24.8,125.2833,75.47,94,75,18.41,heavy intensity rain
119,Upernavik,GL,72.7868,-56.1549,1.83,93,9,5.99,clear sky
120,Hithadhoo,MV,-0.6,73.0833,83.17,74,100,19.04,heavy intensity rain
121,Port Alfred,ZA,-33.5906,26.891,64.24,83,68,4.76,broken clouds
122,Manali,IN,13.1667,80.2667,87.89,82,72,9.78,broken clouds
123,Ambon,ID,-3.6954,128.1814,91.54,55,20,4.61,few clouds
124,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,14.97,scattered clouds
125,Chuy,UY,-33.6971,-53.4616,55.42,82,0,3.02,clear sky
126,Sabang,ID,5.8933,95.3214,82.56,78,100,17.27,light rain
127,Wokha,IN,26.1,94.2667,69.39,56,2,1.5,clear sky
128,Niquelandia,BR,-14.4739,-48.4597,74.68,64,56,1.12,broken clouds
129,Luderitz,NA,-26.6481,15.1594,68.22,46,0,3.98,clear sky
130,Richards Bay,ZA,-28.783,32.0377,63.57,93,0,3.6,clear sky
131,Socorro,US,31.6546,-106.3033,83.41,10,0,12.66,clear sky
132,Lagoa,PT,39.05,-27.9833,61.12,86,100,20.45,overcast clouds
133,Gazli,UZ,40.1333,63.45,75.74,30,99,3.49,overcast clouds
134,Walvis Bay,NA,-22.9575,14.5053,76.15,29,0,11.5,clear sky
135,Thinadhoo,MV,0.5333,72.9333,80.62,83,100,15.59,overcast clouds
136,Chicama,PE,-7.8447,-79.1469,61.34,81,60,6.11,broken clouds
137,Bolobo,CD,-2.1667,16.2333,71.87,95,52,1.57,broken clouds
138,Nioro,GM,13.35,-15.75,79.03,37,5,7.18,clear sky
139,Usta Muhammad,PK,28.1794,68.0445,94.8,23,0,12.24,clear sky
140,Vitim,RU,59.4511,112.5578,36.77,70,100,13.31,overcast clouds
141,Norman Wells,CA,65.282,-126.8329,37.44,87,75,11.5,broken clouds
142,Khowst,AF,33.3833,69.8833,69.4,44,0,0.96,clear sky
143,Bow Island,CA,49.8668,-111.3684,64.69,34,96,12.66,overcast clouds
144,Nome,US,64.5011,-165.4064,40.15,80,0,5.75,clear sky
145,Ambatofinandrahana,MG,-20.55,46.8,50.16,96,6,4.61,clear sky
146,Norcasia,CO,5.5778,-74.8852,72.0,90,100,3.53,overcast clouds
147,Kapoeta,SS,4.7717,33.5903,76.73,60,97,10.42,overcast clouds
148,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,16.11,light rain
149,Iiyama,JP,36.85,138.3667,76.84,37,7,1.19,clear sky
150,Vernon,CA,50.2581,-119.2691,59.61,75,100,3.0,overcast clouds
151,Port Lincoln,AU,-34.7333,135.8667,57.72,54,88,20.18,overcast clouds
152,Guerrero Negro,MX,27.9769,-114.0611,59.56,81,0,14.76,clear sky
153,La Ronge,CA,55.1001,-105.2842,39.45,75,100,14.97,overcast clouds
154,Thompson,CA,55.7435,-97.8558,30.36,69,100,4.61,overcast clouds
155,Hilo,US,19.7297,-155.09,77.29,93,100,3.44,moderate rain
156,Kodiak,US,57.79,-152.4072,42.31,81,100,12.66,moderate rain
157,Qaanaaq,GL,77.484,-69.3632,16.81,93,100,4.41,overcast clouds
158,Isangel,VU,-19.55,169.2667,81.01,71,7,7.67,clear sky
159,Vysokogornyy,RU,50.1167,139.15,50.31,63,100,5.99,overcast clouds
160,Axim,GH,4.8699,-2.2405,79.84,86,100,5.82,overcast clouds
161,Tual,ID,-5.6667,132.75,84.04,71,100,8.84,moderate rain
162,Bucerias,MX,20.75,-105.3333,76.98,78,75,8.05,broken clouds
163,Beyneu,KZ,45.3167,55.2,60.21,45,2,11.95,clear sky
164,Bud,US,39.447,-86.1758,59.02,82,100,5.7,overcast clouds
165,Aitape,PG,-3.1374,142.3475,83.89,78,75,5.61,broken clouds
166,Corowa,AU,-36.0333,146.3833,59.58,47,0,9.95,clear sky
167,Touros,BR,-5.1989,-35.4608,76.17,93,91,10.94,heavy intensity rain
168,Kulhudhuffushi,MV,6.6221,73.07,85.15,71,100,14.25,overcast clouds
169,Beloha,MG,-25.1667,45.05,64.8,91,71,7.81,broken clouds
170,Okhotsk,RU,59.3833,143.3,33.22,89,100,14.2,overcast clouds
171,Tokur,RU,53.1333,132.9,33.35,100,100,1.34,snow
172,Biak,ID,-0.9131,122.8766,84.0,69,89,2.73,overcast clouds
173,Santa Cruz,BO,-17.8,-63.1667,58.46,77,5,4.61,clear sky
174,Husavik,IS,66.0449,-17.3389,31.33,93,100,1.34,overcast clouds
175,Necochea,AR,-38.5473,-58.7368,54.82,68,88,11.34,overcast clouds
176,Dukat,RU,62.55,155.55,32.77,97,5,3.42,clear sky
177,Tura,IN,25.5198,90.2201,80.55,63,10,1.54,clear sky
178,Bokoro,TD,12.3807,17.0568,85.05,52,100,12.77,overcast clouds
179,Vila Velha,BR,-20.3297,-40.2925,80.55,83,40,8.05,scattered clouds
180,Mandal,IN,25.45,74.5667,89.29,28,0,10.29,clear sky
181,Sao Filipe,CV,14.8961,-24.4956,71.73,80,7,3.22,clear sky
182,Nuevo Progreso,MX,23.1667,-97.95,80.47,70,9,1.01,clear sky
183,Nanakuli,US,21.3906,-158.1547,84.15,56,75,12.66,broken clouds
184,Tsiroanomandidy,MG,-18.7667,46.0333,63.21,79,40,2.13,scattered clouds
185,Chokurdakh,RU,70.6333,147.9167,24.1,82,100,6.13,overcast clouds
186,Biloela,AU,-24.4167,150.5,84.7,39,0,1.92,clear sky
187,Lasa,IT,46.6166,10.7002,49.08,91,69,1.14,broken clouds
188,Acapulco,MX,16.8634,-99.8901,80.42,78,100,9.22,overcast clouds
189,Pueblo Nuevo,MX,23.3833,-105.3833,54.16,52,35,3.58,scattered clouds
190,Moerai,PF,-22.4333,-151.3333,79.3,83,100,15.14,light rain
191,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,87,87,8.41,overcast clouds
192,Aguimes,ES,27.9054,-15.4461,61.43,59,40,13.8,scattered clouds
193,Jacareacanga,BR,-6.2222,-57.7528,73.53,98,99,1.34,overcast clouds
194,Maldonado,UY,-34.6667,-54.9167,55.22,90,4,4.81,clear sky
195,Qaqortoq,GL,60.7167,-46.0333,31.87,76,100,5.06,overcast clouds
196,Xingyi,CN,24.1877,102.817,56.05,89,100,1.72,overcast clouds
197,Orumiyeh,IR,37.5527,45.0761,49.55,87,0,6.91,clear sky
198,Kavieng,PG,-2.5744,150.7967,84.87,74,99,13.18,light rain
199,Kruisfontein,ZA,-34.0033,24.7314,58.89,88,70,4.16,broken clouds
200,Parrita,CR,9.5201,-84.3225,76.51,94,100,3.18,overcast clouds
201,Luan,CH,46.3592,6.9759,46.36,92,100,2.82,overcast clouds
202,Road Town,VG,18.4167,-64.6167,78.89,83,40,10.36,scattered clouds
203,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.72,87,40,7.9,scattered clouds
204,Dossor,KZ,47.5272,52.9811,57.65,45,0,6.64,clear sky
205,Pisco,PE,-13.7,-76.2167,64.02,88,0,12.66,clear sky
206,Jacmel,HT,18.2342,-72.5347,80.44,85,59,2.24,broken clouds
207,Takapau,NZ,-40.0333,176.35,63.73,64,7,5.88,clear sky
208,Esperance,AU,-33.8667,121.9,60.64,57,89,12.41,overcast clouds
209,Faya,SA,18.3851,42.4509,62.71,59,5,1.97,clear sky
210,Cidreira,BR,-30.1811,-50.2056,66.11,72,100,11.68,overcast clouds
211,Los Zacatones,MX,22.95,-102.05,74.03,19,97,18.9,overcast clouds
212,Zaros,GR,35.1316,24.9046,56.97,79,0,5.5,clear sky
213,Erenhot,CN,43.6475,111.9767,61.86,35,100,22.64,moderate rain
214,Mikhaylovka,RU,50.06,43.2379,47.79,87,95,13.65,overcast clouds
215,Valdosta,US,30.8327,-83.2785,75.15,79,0,0.0,clear sky
216,Bambanglipuro,ID,-7.95,110.2833,83.7,73,97,5.5,overcast clouds
217,Fort Abbas,PK,29.1925,72.8536,91.09,31,0,3.8,clear sky
218,Cabo San Lucas,MX,22.8909,-109.9124,76.3,68,0,11.5,clear sky
219,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,94,40,11.01,scattered clouds
220,Chalus,IR,36.655,51.4204,60.26,94,100,0.0,overcast clouds
221,Iqaluit,CA,63.7506,-68.5145,8.33,78,20,20.71,few clouds
222,Chara,RU,56.9064,118.2631,34.38,42,98,1.43,light snow
223,Fontem,CM,5.4685,9.8818,66.56,88,99,3.49,overcast clouds
224,Karpathos,GR,35.507,27.2132,60.76,72,0,26.46,clear sky
225,Samarinda,ID,-0.5,117.15,89.71,53,25,4.23,scattered clouds
226,Kavaratti,IN,10.5669,72.642,85.06,74,100,14.03,overcast clouds
227,Katsuura,JP,35.1333,140.3,68.95,70,100,13.87,overcast clouds
228,Huarmey,PE,-10.0681,-78.1522,66.33,85,76,5.82,broken clouds
229,Bukama,CD,-9.2,25.85,66.04,86,12,1.97,few clouds
230,Porto Novo,BJ,6.4965,2.6036,75.02,90,100,3.74,overcast clouds
231,Boda,CF,4.3189,17.4695,70.61,89,43,0.58,light rain
232,Strezhevoy,RU,60.7333,77.5889,51.42,52,97,15.05,overcast clouds
233,Nizhniy Kuranakh,RU,58.8353,125.4869,37.51,76,100,11.52,light rain
